street,suburb,numbers,postcode,lon,lat,accuracy,matchedaddress
"Ashmole Street","Woolston","","8023","172.676526","-43.551078","street","Ashmole Street, Woolston, Christchurch"
"Ashmore Lane","Strowan","","8052","172.607014","-43.501433","street","Ashmore Lane, Strowan, Christchurch"
"Ashtead Lane","Sockburn","","8042","172.550623","-43.534873","street","Ashtead Lane, Sockburn, Christchurch"
"Ashton Mews","Casebrook","","8051","172.611158","-43.469937","street","Ashton Mews, Casebrook, Christchurch"
"Ashwood Street","Parklands","","8083","172.700409","-43.477304","street","Ashwood Street, Parklands, Christchurch"
"Askeaton Drive","Kaiapoi","","7630","172.673601","-43.385585","street","Askeaton Drive, Kaiapoi, Waimakariri"
"Aspen Place","Parklands","","8083","172.703294","-43.483959","street","Aspen Place, Parklands, Christchurch"
"Assisi Street","Mt Pleasant","","8081","172.723093","-43.564614","street","Assisi Street, Mt Pleasant, Christchurch"
"Aston Drive","Waimairi Beach","","8083","172.719502","-43.481403","street","Aston Drive, Waimairi Beach, Christchurch"
"Astor Place","Halswell","","8025","172.550806","-43.574263","street","Astor Place, Halswell, Christchurch"
"Athelstan Street","Spreydon","","8024","172.620877","-43.556566","street","Athelstan Street, Spreydon, Christchurch"
"Athol Terrace Upper","Riccarton","","8041","172.597017","-43.530505","suburb","Riccarton, Christchurch"
"Atlantis Street New","Brighton","","8083","172.704722","-43.496618","street","Atlantis Street, New Brighton, Christchurch"
"Atlas Lane","Christchurch Central","","8011","172.638887","-43.538145","street","Atlas Lane, Christchurch Central, Christchurch"
"Atom Lane","Woolston","","8023","172.681539","-43.558034","street","Atom Lane, Woolston, Christchurch"
"Attlee Crescent","Burnside","","8053","172.58359","-43.505931","street","Attlee Crescent, Burnside, Christchurch"
"Aubrey Street","Akaroa","","7520","172.962086","-43.809996","street","Aubrey Street, Akaroa, Christchurch"
"Aubrey Street South","Akaroa","","7520","172.960356","-43.811958","street","Aubrey Street South, Akaroa, Christchurch"
"Auburn Avenue Upper","Riccarton","","8041","172.597017","-43.530505","suburb","Riccarton, Christchurch"
"Auden Common","Rolleston","","7614","172.389069","-43.59587","street","Auden Common, Rolleston, Selwyn"
"Audley Gate","Avonhead","","8042","172.548356","-43.511259","street","Audley Gate, Avonhead, Christchurch"
"Audley Street","Kaiapoi","","7630","172.638253","-43.382307","street","Audley Street, Kaiapoi, Waimakariri"
"Augusta Street","Redcliffs","","8081","172.736165","-43.563983","street","Augusta Street, Redcliffs, Christchurch"
"Aurora Street","Hei Hei","","8042","172.524292","-43.530125","street","Aurora Street, Hei Hei, Christchurch"
"Austin Kirk Lane","St Martins","","8022","172.648511","-43.566251","street","Austin Kirk Lane, St Martins, Christchurch"
"Austin Street","Sydenham","","8023","172.64514","-43.550753","street","Austin Street, Sydenham, Christchurch"
"Autumn Place","Mairehau","","8052","172.627628","-43.487292","street","Autumn Place, Mairehau, Christchurch"
"Ava Place","Dallington","","8061","172.680737","-43.510813","street","Ava Place, Dallington, Christchurch"
"Avalon Street","Richmond","","8013","172.653721","-43.518645","street","Avalon Street, Richmond, Christchurch"
"Averill Street","Richmond","","8013","172.658151","-43.513103","street","Averill Street, Richmond, Christchurch"
"Avery Place","Redcliffs","","8081","172.727376","-43.567671","street","Avery Place, Redcliffs, Christchurch"
"Avery Road","Burnham","","7600","172.303632","-43.614606","street","Avery Road, Burnham, Selwyn"
"Avoca Valley Road","Heathcote Valley","","8022","172.683487","-43.573415","street","Avoca Valley Road, Heathcote Valley, Christchurch"
"Avoca Valley Road","Hillsborough","","8022","172.683487","-43.573415","street","Avoca Valley Road, Hillsborough, Christchurch"
"Avon Gate","Avonhead","","8042","172.540555","-43.513001","street","Avon Gate, Avonhead, Christchurch"
"Avondale Road","Avondale","","8061","174.679156","-36.889803","street","Avondale Road, Avondale, Auckland"
"Avonhead Road","Avonhead","","8042","172.555114","-43.500509","street","Avonhead Road, Avonhead, Christchurch"
"Avonhead Road","Yaldhurst","","8042","172.555114","-43.500509","street","Avonhead Road, Yaldhurst, Christchurch"
"Avonside Drive","Avondale","","8061","172.669105","-43.514591","street","Avonside Drive, Avondale, Christchurch"
"Avonside Drive","Avonside","158-836","8061","172.669105","-43.514591","street","Avonside Drive, Avonside, Christchurch"
"Avonside Drive","Linwood","","8011","172.669105","-43.514591","street","Avonside Drive, Linwood, Christchurch"
"Avonside Drive","Wainoni","","8061","172.669105","-43.514591","street","Avonside Drive, Wainoni, Christchurch"
"Avro Crescent","Hornby","","8042","172.539489","-43.546364","street","Avro Crescent, Hornby, Christchurch"
"Awatea Gardens","Hornby","","8042","172.540634","-43.552835","street","Awatea Gardens, Hornby, Christchurch"
"Awatea Road","Hornby","2-72 (Even Numbers)","8042","172.544337","-43.557804","street","Awatea Road, Hornby, Christchurch"
"Awatea Road","Hornby","3-57 (Odd Numbers)","8042","172.544337","-43.557804","street","Awatea Road, Hornby, Christchurch"
"Awatea Road","Hornby","65-65","8042","172.544337","-43.557804","street","Awatea Road, Hornby, Christchurch"
"Awatea Road","Wigram","90-170 (Even Numbers)","8025","172.544337","-43.557804","street","Awatea Road, Wigram, Christchurch"
"Awatea Road","Wigram","63-63","8025","172.544337","-43.557804","street","Awatea Road, Wigram, Christchurch"
"Awatea Road","Wigram","101-185 (Odd Numbers)","8025","172.544337","-43.557804","street","Awatea Road, Wigram, Christchurch"
"Aylesford Street","Mairehau","","8013","172.647679","-43.50493","street","Aylesford Street, Mairehau, Christchurch"
"Aylmer Street","Somerfield","","8024","172.634715","-43.560264","street","Aylmer Street, Somerfield, Christchurch"
"Aylmers Valley Road","Akaroa","13-128","7520","172.966412","-43.820797","street","Aylmers Valley Road, Akaroa, Christchurch"
"Aylsham Lane","Casebrook","","8051","172.608352","-43.472069","street","Aylsham Lane, Casebrook, Christchurch"
"Aynsley Terrace","Hillsborough","","8022","172.665906","-43.558149","street","Aynsley Terrace, Hillsborough, Christchurch"
"Ayr Street","Riccarton","","8011","172.610548","-43.527841","street","Ayr Street, Riccarton, Christchurch"
"Azalea Close","Templeton","","8042","172.465135","-43.545468","street","Azalea Close, Templeton, Christchurch"
"Azalea Place","Kaiapoi","","7630","172.672685","-43.385193","street","Azalea Place, Kaiapoi, Waimakariri"
"Aztec Place","Redwood","","8051","172.624561","-43.473623","street","Aztec Place, Redwood, Christchurch"
"Azure Place","Burwood","","8083","172.694748","-43.49554","street","Azure Place, Burwood, Christchurch"
"Badger Street","Parklands","","8083","172.708392","-43.485738","street","Badger Street, Parklands, Christchurch"
"Baffin Street","Wainoni","","8061","172.689505","-43.522718","street","Baffin Street, Wainoni, Christchurch"
"Bahama Place","Hornby","","8042","172.535363","-43.545013","street","Bahama Place, Hornby, Christchurch"
"Bailey Street","Templeton","","8042","172.469025","-43.552103","street","Bailey Street, Templeton, Christchurch"
"Bainton Street","Bishopdale","","8053","172.591743","-43.48822","street","Bainton Street, Bishopdale, Christchurch"
"Baker Street New","Brighton","","8083","170.327568","-45.948584","suburb","Brighton, Dunedin"
"Baladin Street","Avondale","","8061","172.69284","-43.503588","street","Baladin Street, Avondale, Christchurch"
"Balcairn Street","Halswell","","8025","172.564197","-43.573851","street","Balcairn Street, Halswell, Christchurch"
"Baldoyle Way","Casebrook","","8051","172.591756","-43.4791","street","Baldoyle Way, Casebrook, Christchurch"
"Baldwin Lane","Kaiapoi","","7630","172.658787","-43.388485","street","Baldwin Lane, Kaiapoi, Waimakariri"
"Balfour Terrace","Christchurch Central","","8011","172.626381","-43.538424","street","Balfour Terrace, Christchurch Central, Christchurch"
"Balgay Street Upper","Riccarton","","8041","172.597017","-43.530505","suburb","Riccarton, Christchurch"
"Balkwell Street","Halswell","","8025","172.565941","-43.570444","street","Balkwell Street, Halswell, Christchurch"
"Ball Lane","Redcliffs","","8081","172.737751","-43.563319","street","Ball Lane, Redcliffs, Christchurch"
"Ballance Street","Waimairi Beach","","8083","172.720694","-43.483942","street","Ballance Street, Waimairi Beach, Christchurch"
"Ballantyne Avenue Upper","Riccarton","","8041","172.597017","-43.530505","suburb","Riccarton, Christchurch"
"Ballarat Way","Wigram","","8042","172.568774","-43.551329","street","Ballarat Way, Wigram, Christchurch"
"Ballybrack Place","Casebrook","","8051","172.590995","-43.479632","street","Ballybrack Place, Casebrook, Christchurch"
"Ballymena Drive","Belfast","","8051","172.632921","-43.448712","street","Ballymena Drive, Belfast, Christchurch"
"Balmoral Lane","Redcliffs","","8081","172.730511","-43.558232","street","Balmoral Lane, Redcliffs, Christchurch"
"Balrudry Street","Avonhead","","8042","172.558828","-43.520704","street","Balrudry Street, Avonhead, Christchurch"
"Baltic Place","Northwood","","8051","172.619738","-43.459576","street","Baltic Place, Northwood, Christchurch"
"Baltimore Green","Shirley","","8061","172.66244","-43.492503","street","Baltimore Green, Shirley, Christchurch"
"Bamford Street","Woolston","","8023","172.684648","-43.557432","street","Bamford Street, Woolston, Christchurch"
"Bampton Street","Burwood","","8061","172.668213","-43.508609","street","Bampton Street, Burwood, Christchurch"
"Bampton Street","Dallington","","8061","172.668213","-43.508609","street","Bampton Street, Dallington, Christchurch"
"Banbury Street","Burnside","","8053","172.574578","-43.502214","street","Banbury Street, Burnside, Christchurch"
"Bancroft Place","Parklands","","8083","172.702953","-43.478646","street","Bancroft Place, Parklands, Christchurch"
"Banff Place","Avonhead","","8042","172.556906","-43.517901","street","Banff Place, Avonhead, Christchurch"
"Bangor Street","Christchurch Central","","8011","172.648971","-43.524878","street","Bangor Street, Christchurch, Christchurch"
"Banks Avenue","Dallington","","8061","172.666176","-43.512008","street","Banks Avenue, Dallington, Christchurch"
